,ID,log2FoldChange
352,FBgn0002069,-0.295518831
353,FBgn0002121,-0.109521521
354,FBgn0002174,-0.25336689
355,FBgn0002183,0.126128521
356,FBgn0002283,-0.33683317
357,FBgn0002284,-0.302391555
358,FBgn0002306,0.22853531
359,FBgn0002354,-0.525472781
360,FBgn0002413,0.320586752
361,FBgn0002431,0.637523201
362,FBgn0002440,0.46432932
363,FBgn0002441,-0.061652231
364,FBgn0002466,-1.21738949
365,FBgn0002521,0.05161664
366,FBgn0002522,0.929447929
367,FBgn0002524,0.005204317
368,FBgn0002525,0.077837233
369,FBgn0002526,0.789891457
370,FBgn0002531,-1.385789755
371,FBgn0002533,2.526607938
372,FBgn0002534,0.443014481
373,FBgn0002535,NA
374,FBgn0002542,0.092790322
375,FBgn0002543,0.328773801
376,FBgn0002552,0.222604213
377,FBgn0002561,-3.319695633
378,FBgn0002562,1.099649466
379,FBgn0002563,-0.430745819
380,FBgn0002564,1.73016502
381,FBgn0002565,-3.94374223
382,FBgn0002566,0.159641087
383,FBgn0002567,-0.01131821
384,FBgn0002569,0.82854176
385,FBgn0002570,1.308289592
386,FBgn0002571,-0.152611155
387,FBgn0002573,-0.056952395
388,FBgn0002576,0.070506127
389,FBgn0002577,-3.35529555
390,FBgn0002578,0.579616615
391,FBgn0002579,-0.74988091
392,FBgn0002590,-0.346998368
393,FBgn0002592,-0.30996251
394,FBgn0002593,-0.890942122
395,FBgn0002609,-0.409389536
396,FBgn0002622,-0.416138641
397,FBgn0002626,-0.724168607
398,FBgn0002629,-4.694508468
399,FBgn0002631,-3.820698419
400,FBgn0002632,-2.321199329
401,FBgn0002633,-3.295481044
402,FBgn0002638,-0.97017204
403,FBgn0002641,0.259767691
404,FBgn0002643,0.138178299
405,FBgn0002645,0.298375214
406,FBgn0002673,0.324047865
407,FBgn0002707,0.188484716
408,FBgn0002709,0.159216473
409,FBgn0002715,0.411100506
410,FBgn0002716,-0.421325682
411,FBgn0002719,0.052786841
412,FBgn0002723,0.080371203
413,FBgn0002732,-0.757362731
414,FBgn0002733,-0.518445107
415,FBgn0002734,-2.78388452
416,FBgn0002735,-4.903884478
417,FBgn0002736,-0.553423945
418,FBgn0002772,0.046983378
419,FBgn0002773,0.083834949
420,FBgn0002774,0.245747748
421,FBgn0002775,-0.201095676
422,FBgn0002778,0.219726465
423,FBgn0002780,-0.531984541
424,FBgn0002781,-0.102544495
425,FBgn0002783,0.116624689
426,FBgn0002787,-0.039449501
427,FBgn0002789,-0.398110692
428,FBgn0002791,0.146543785
429,FBgn0002838,0.791001457
430,FBgn0002842,1.070115677
431,FBgn0002855,1.664540977
432,FBgn0002856,0.811264804
433,FBgn0002862,0.213188794
434,FBgn0002863,0.862314163
435,FBgn0002865,1.492439202
436,FBgn0002868,-0.091694678
437,FBgn0002869,0.428959739
438,FBgn0002872,-0.214851273
439,FBgn0002873,0.698640586
440,FBgn0002878,0.446715136
441,FBgn0002887,-0.002406942
442,FBgn0002891,0.327857941
443,FBgn0002899,-0.095686784
444,FBgn0002901,0.374994986
445,FBgn0002905,0.219033044
446,FBgn0002906,0.417370185
447,FBgn0002909,NA
448,FBgn0002914,0.0223678
449,FBgn0002917,0.389970243
450,FBgn0002921,0.416143935
451,FBgn0002922,-1.241623874
452,FBgn0002924,-0.190026149
453,FBgn0002926,-2.828891046
454,FBgn0002930,-0.149568123
455,FBgn0002931,0.594581361
456,FBgn0002932,0.026258283
